name,model,segment,year,selling_price_lakh,km_driven,fuel,seller_type,transmission,owner,mileage_kmpl,engine_cc,max_power_bhp,seats
Suzuki Swift,Swift,Hatchback,2010,1.2,213726,Petrol,Dealer,Manual,First Owner,20.7,985.0,70.2,5.0
Suzuki Ignis,Ignis,Hatchback,2017,2.6,30739,Petrol,Individual,Manual,First Owner,20.8,985.0,65.3,5.0
Suzuki Grand Vitara,Grand Vitara,SUV,2018,4.84,60075,Petrol,Individual,Manual,Second Owner,15.9,1481.0,101.5,4.0
Suzuki Ignis,Ignis,Hatchback,2022,3.97,14283,Petrol,Individual,Manual,Second Owner,22.2,995.0,68.9,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2023,6.49,4346,Petrol,Individual,Manual,First Owner,20.9,1213.0,80.5,5.0
Suzuki Ertiga,Ertiga,MUV,2023,8.57,18119,Petrol,Dealer,Manual,First Owner,20.0,1462.0,99.1,6.0
Suzuki Alto K10,Alto K10,Hatchback,2019,2.28,42843,Petrol,Individual,Manual,First Owner,20.6,998.0,64.1,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2023,6.83,5240,Petrol,Individual,Automatic,First Owner,21.3,1190.0,80.3,5.0
Suzuki Ertiga,Ertiga,MUV,2023,6.9,25069,Petrol,Individual,Automatic,First Owner,17.8,1470.0,107.9,6.0
Suzuki Jimny,Jimny,SUV,2018,4.59,99354,Petrol,Individual,Manual,First Owner,15.1,1481.0,101.0,5.0
Suzuki Ciaz,Ciaz,Sedan,2023,7.93,14432,Petrol,Dealer,Manual,First Owner,19.4,1194.0,84.5,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2023,6.71,14590,Petrol,Individual, Manual ,First Owner,21.6,1210.0,81.6,5.0
Suzuki Celerio,Celerio,Hatchback,2011,1.2,118839,CNG,Individual,Automatic,First Owner,30.2,995.0,69.1,5.0
Suzuki S-Presso,S-Presso,Hatchback,2017,1.96,62366,CNG,Individual,Manual,First Owner,31.1 kmpl,979.0,69.6,5.0
Suzuki Alto K10,Alto K10,Hatchback,2021,3.0,23879,Petrol,Individual,Manual,First Owner,22.1,1008.0,66.6,5.0
Suzuki Swift,Swift,Hatchback,2018,2.67,93191,Petrol,Individual,Manual,First Owner,19.7,985.0,64.8,5.0
Suzuki WagonR,WagonR,Hatchback,2016,1.53,128828,Petrol,Individual,Manual,First Owner,23.2,1016.0,70.6,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2023,5.79,26232,Petrol,Individual,Automatic,Second Owner,22.4,1244.0,84.6,5.0
Suzuki Ertiga,Ertiga,MUV,2011,1.47,214299,PETROL,Individual,Manual,First Owner,18.2,1473.0,101.0,7.0
Suzuki Alto K10,Alto K10,Hatchback,2014,1.2,157184,CNG,Individual, Manual ,Third Owner,29.5,967.0,62.8,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2014,1.74,204986,Petrol,Individual,Manual,First Owner,21.5 kmpl,1212.0,83.4,5.0
Suzuki Alto K10,Alto K10,Hatchback,2014,1.2,175149,CNG,Trustmark Dealer,Manual,First Owner,29.8,991.0,71.6,5.0
Suzuki Ciaz,Ciaz,Sedan,2012,1.59,137825,Petrol,Individual,Manual,First Owner,21.9,1189.0,86.6,5.0
